symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
2Z,short,2025-10-03 14:15:00+00:00,2025-10-03 14:20:00+00:00,2025-10-03 18:15:00+00:00,201,202,249,0.54538,0.5073592650536236,0.5644053674731883,0.5073592650536236,take_profit,7.493848553718219,7.4138485537182195,48
2Z,short,2025-10-04 17:00:00+00:00,2025-10-04 17:05:00+00:00,2025-10-04 19:35:00+00:00,522,523,553,0.51274,0.5024480223639232,0.5178859888180384,0.5024480223639232,take_profit,2.0483666325633143,1.9683666325633145,31
2Z,short,2025-10-06 16:50:00+00:00,2025-10-06 16:55:00+00:00,2025-10-06 17:30:00+00:00,1096,1097,1104,0.47751,0.4816122709865037,0.4816122709865037,0.46930545802699253,stop,-0.851778751006671,-0.9317787510066711,8
2Z,short,2025-10-06 18:15:00+00:00,2025-10-06 18:20:00+00:00,2025-10-06 20:10:00+00:00,1113,1114,1136,0.47777,0.4817971048112964,0.4817971048112964,0.4695957903774072,stop,-0.8358507701854534,-0.9158507701854535,23
2Z,short,2025-10-07 15:15:00+00:00,2025-10-07 15:20:00+00:00,2025-10-07 16:15:00+00:00,1365,1366,1377,0.49221,0.48165809193503023,0.4974709540324849,0.48165809193503023,take_profit,2.1907465568735907,2.1107465568735906,12
2Z,short,2025-10-08 16:00:00+00:00,2025-10-08 16:05:00+00:00,2025-10-08 18:20:00+00:00,1662,1663,1690,0.39389,0.38453771889297966,0.3985811405535101,0.38453771889297966,take_profit,2.4320842007239385,2.3520842007239384,28
2Z,short,2025-10-09 15:55:00+00:00,2025-10-09 16:00:00+00:00,2025-10-09 17:00:00+00:00,1949,1950,1962,0.39405,0.3996530986211575,0.3996530986211575,0.38308380275768494,stop,-1.4019905364148877,-1.4819905364148878,13
2Z,short,2025-10-09 17:05:00+00:00,2025-10-09 17:10:00+00:00,2025-10-10 01:55:00+00:00,1963,1964,2069,0.39649,0.3794888001905414,0.40508059990472933,0.3794888001905414,take_profit,4.4800267625611845,4.400026762561184,106
2Z,short,2025-10-10 14:30:00+00:00,2025-10-10 14:35:00+00:00,2025-10-10 16:15:00+00:00,2220,2221,2241,0.33489,0.3270645993554943,0.33886270032225285,0.3270645993554943,take_profit,2.392616217079513,2.312616217079513,21
2Z,long,2025-10-11 17:40:00+00:00,2025-10-11 17:45:00+00:00,2025-10-11 20:35:00+00:00,2546,2547,2581,0.27677,0.2729049975357846,0.2729049975357846,0.2848300049284308,stop,-1.3964672703744574,-1.4764672703744575,35
