atr_pct_max,atr_pct_min,atr_stop_mult,balance_dev_component_min,balance_rsi_component_min,balance_wick_component_min,close_position_max,close_position_min,dd_brake_freeze_steps,dd_brake_trigger_pct,ema50_dev_max,ema50_dev_min,entry_cooldown_bars,fail_break_close_buffer,fail_break_high_buffer,fail_fast_bars,fail_fast_min_progress_r,late_ret3_penalty_start,late_ret5_penalty_start,late_ret_penalty,loss_cooldown_bars,over_ema50_penalty,over_ema50_penalty_start,range20_pct_max,range20_pct_min,range_atr_ratio_max,range_atr_ratio_min,require_ema_reject,require_fail_break20,require_fail_break50,require_red_candle,require_upper_sweep,ret10_ceil,ret10_min,ret20_ceil,ret20_min,ret3_ceil,ret3_min,ret5_ceil,ret5_min,rr_mult,rsi_delta1_max,rsi_rising_penalty,rsi_rising_penalty_start,score_dev_cap,score_dev_weight,score_min_short,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,signal_cooldown_bars,soft_ema_reject_bonus,soft_fail_break20_bonus,soft_fail_break50_bonus,soft_range_atr_bonus,soft_range_atr_min,soft_red_candle_bonus,soft_rsi_falling_bonus,soft_upper_range_bonus,soft_upper_range_ratio_min,soft_upper_sweep_bonus,soft_volr_bonus,soft_volr_min,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,upper_body_ratio_max,upper_body_ratio_min,upper_range_ratio_max,upper_range_ratio_min,volr_max,volr_min
999.0,0.0,2.57,0.0,0.0,0.0,999.0,-999.0,4,0.035,999.0,-999.0,0,0.0,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,False,False,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,gate_retest_N02_parent,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,0.0,0.0,0.0,999.0,-999.0,4,0.035,999.0,-999.0,0,0.0,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,False,False,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.07,0.2,0.07,0.14,1.1,RETEST_SMX2V3_B04_M01_S02D_plus_upper020,anchor_M01_v4_current,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,0.0,0.0,0.0,0.48,-999.0,4,0.035,999.0,-999.0,0,-0.001,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,True,False,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.12,2.0,0.8,2.5,0.7,0.02,70.0,1.05,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,SMX2V4_B06_FB20_01_strict_close_back,fb20_strict_close_back,3,0.0,320,999.0,0.0,999.0,0.18,999.0,1.05
999.0,0.0,2.57,0.0,0.0,0.0,0.45,-999.0,4,0.035,999.0,-999.0,0,0.0,0.001,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.9,False,True,False,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.08,2.0,0.8,2.5,0.7,0.018,68.0,1.0,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,SMX2V4_B06_FB20_02_vol_range_confirm,fb20_vol_range_confirm,3,0.0,320,999.0,0.0,999.0,0.2,999.0,1.15
999.0,0.0,2.57,0.0,0.0,0.0,0.35,-999.0,4,0.035,999.0,-999.0,0,0.001,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,True,False,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.05,2.0,0.8,2.5,0.7,0.018,68.0,1.0,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,SMX2V4_B06_FB20_03_weak_close,fb20_weak_close,3,0.0,320,999.0,0.0,999.0,0.24,999.0,1.05
999.0,0.0,2.57,0.0,0.0,0.0,0.48,-999.0,4,0.035,999.0,-999.0,0,0.001,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,True,False,False,False,999.0,0.055,999.0,-999.0,999.0,-999.0,999.0,0.035,5.075,999.0,0.0,999.0,2.0,1.3,2.08,2.0,0.8,2.5,0.7,0.018,69.0,1.0,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,SMX2V4_B06_FB20_04_after_runup,fb20_after_runup,3,0.0,320,999.0,0.0,999.0,0.18,999.0,1.0
999.0,0.0,2.57,0.0,0.0,0.0,0.48,-999.0,4,0.035,999.0,-999.0,0,0.001,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,False,True,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.12,2.0,0.8,2.5,0.7,0.022,70.0,1.05,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,SMX2V4_B06_FB50_01_broad_sweep,fb50_broad_sweep,3,0.0,320,999.0,0.0,999.0,0.18,999.0,1.05
999.0,0.0,2.57,0.0,0.0,0.0,0.42,-999.0,4,0.035,999.0,-999.0,0,-0.001,0.001,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.9,False,False,True,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.1,2.0,0.8,2.5,0.7,0.02,70.0,1.0,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,SMX2V4_B06_FB50_02_strict_distribution,fb50_strict_distribution,3,0.0,320,999.0,0.0,999.0,0.22,999.0,1.15
999.0,0.0,2.57,0.0,0.0,0.0,0.45,-999.0,4,0.035,999.0,-999.0,0,0.001,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,True,True,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.06,2.0,0.8,2.5,0.7,0.018,69.0,1.0,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,SMX2V4_B06_FB20_FB50_combo,fb20_fb50_combo,3,0.0,320,999.0,0.0,999.0,0.18,999.0,1.05
999.0,0.0,2.57,0.0,0.0,0.0,999.0,-999.0,4,0.035,999.0,-999.0,0,0.0,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,False,False,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0,0.0,0.12,0.0,0.0,999.0,0.0,0.0,0.05,0.2,0.05,0.1,1.1,SMX2V4_B06_SOFTFB_01_M01_plus_fb20,softfb_M01_plus_fb20,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
