atr_pct_max,atr_pct_min,atr_stop_mult,close_position_max,close_position_min,dd_brake_freeze_steps,dd_brake_trigger_pct,ema50_dev_max,ema50_dev_min,fail_fast_bars,fail_fast_min_progress_r,range20_pct_max,range_atr_ratio_max,range_atr_ratio_min,require_ema_reject,require_red_candle,require_upper_sweep,ret10_ceil,ret20_ceil,ret3_ceil,ret5_ceil,rr_mult,rsi_delta1_max,score_dev_cap,score_dev_weight,score_min_short,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,soft_ema_reject_bonus,soft_range_atr_bonus,soft_range_atr_min,soft_red_candle_bonus,soft_rsi_falling_bonus,soft_upper_range_bonus,soft_upper_range_ratio_min,soft_upper_sweep_bonus,soft_volr_bonus,soft_volr_min,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,upper_body_ratio_max,upper_body_ratio_min,upper_range_ratio_max,upper_range_ratio_min,volr_max,volr_min
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,999.0,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,gate_retest_N02_baseline,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.2,1.1,RETEST_SMX2V3_N02_S02_soft_volr110_bonus020,retest_S02_soft_volr110_bonus020,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.06,0.8,0.0,0.0,0.08,0.2,0.08,0.08,1.05,RETEST_SMX2V3_N02_S06_soft_mixed_context_bonus,retest_S06_soft_mixed_context_bonus,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.18,1.05,SMX2V3_B03_S02A_vol105_bonus018,S02_branch_vol105_bonus018,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.22,1.15,SMX2V3_B03_S02B_vol115_bonus022,S02_branch_vol115_bonus022,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.0,999.0,0.0,0.0,0.08,0.2,0.0,0.16,1.1,SMX2V3_B03_S02C_vol110_upper020,S02_branch_vol110_plus_upper_range,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.08,0.16,1.1,SMX2V3_B03_S02D_vol110_sweep,S02_branch_vol110_plus_sweep,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.0,999.0,0.08,0.06,0.0,999.0,0.0,0.14,1.1,SMX2V3_B03_S02E_vol110_red_rsi_fall,S02_branch_vol110_plus_red_rsi_fall,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.08,0.8,0.0,0.0,0.0,999.0,0.0,0.14,1.1,SMX2V3_B03_S02F_vol110_range_atr,S02_branch_vol110_plus_range_atr,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
999.0,0.0,2.57,999.0,-999.0,4,0.035,999.0,-999.0,12,0.1,999.0,999.0,0.0,False,False,False,999.0,999.0,999.0,999.0,5.075,999.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,0.0,0.04,0.8,0.0,0.0,0.06,0.2,0.06,0.06,1.05,SMX2V3_B03_S06A_mixed_lighter,S06_branch_mixed_lighter,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
