rank_by_cd,strategy,description,entry_key,filter_name,body_atr_min,atr_stop,rr_target,max_hold_bars,cooldown_bars,use_tp03_gate,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,cd_value,max_conc,symbol_files,errors,ruined,is_baseline,is_v27_winner,delta_cd_vs_baseline_expected
1,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,True,False,3.5657332214185714e+121
2,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
3,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
4,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
5,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
6,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
7,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
8,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
9,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
10,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
11,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
12,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
13,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
14,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
15,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
16,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
17,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
18,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
19,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_RETEST_FROM_V34_TOP1_S130_RR625_B400_H17_C32,OFFICIAL v18/v13 baseline: stop 1.30 / rr 6.25 / body_atr >= 0.40 / hold 17 / cooldown 32,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,1.3,6.25,17,32,True,8395147,3399463,4995684,40.493192078709285,1.7415711221185035e+122,1.744909231486716e+122,79.56493577387714,3.5657332214185714e+121,3.5657332214185714e+121,67346,851,254,False,False,False,3.5657332214185714e+121
