atr_pct_max,atr_pct_min,atr_stop_mult,balance_dev_component_min,balance_rsi_component_min,balance_wick_component_min,close_position_max,close_position_min,dd_brake_freeze_steps,dd_brake_trigger_pct,ema50_dev_max,ema50_dev_min,entry_cooldown_bars,fail_break_close_buffer,fail_break_high_buffer,fail_fast_bars,fail_fast_min_progress_r,late_ret3_penalty_start,late_ret5_penalty_start,late_ret_penalty,loss_cooldown_bars,over_ema50_penalty,over_ema50_penalty_start,range20_pct_max,range20_pct_min,range_atr_ratio_max,range_atr_ratio_min,require_ema_reject,require_fail_break20,require_fail_break50,require_red_candle,require_upper_sweep,ret10_ceil,ret10_min,ret20_ceil,ret20_min,ret3_ceil,ret3_min,ret5_ceil,ret5_min,rr_mult,rsi_delta1_max,rsi_rising_penalty,rsi_rising_penalty_start,score_dev_cap,score_dev_weight,score_min_short,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,signal_cooldown_bars,soft_ema_reject_bonus,soft_fail_break20_bonus,soft_fail_break50_bonus,soft_range_atr_bonus,soft_range_atr_min,soft_red_candle_bonus,soft_rsi_falling_bonus,soft_upper_range_bonus,soft_upper_range_ratio_min,soft_upper_sweep_bonus,soft_volr_bonus,soft_volr_min,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,upper_body_ratio_max,upper_body_ratio_min,upper_range_ratio_max,upper_range_ratio_min,volr_max,volr_min
999.0,0.0,2.57,0.0,0.0,0.0,999.0,-999.0,4,0.035,999.0,-999.0,0,0.0,0.0,12,0.1,999.0,999.0,0.0,0,0.0,999.0,999.0,0.0,999.0,0.0,False,False,False,False,False,999.0,-999.0,999.0,-999.0,999.0,-999.0,999.0,-999.0,5.075,999.0,0.0,999.0,2.0,1.3,2.3,2.0,0.8,2.5,0.7,0.026,73.0,1.18,0,0.0,0.16,0.0,0.0,999.0,0.0,0.0,0.05,0.2,0.0,0.1,1.08,SMX2V4_B07_A05_context_plus_FB20_only,solo_A05_context_plus_FB20_only,3,0.0,320,999.0,0.0,999.0,0.0,999.0,0.0
