symbol,trades,wins,losses,win_rate_pct,sum_trade_return_pct,avg_trade_return_pct,gross_profit_return_pct,gross_loss_abs_return_pct,profit_factor,asset_pnl,rank,positive_pool_share_pct,negative_pool_share_pct,net_contribution_pct,cumulative_positive_pool_share_pct
MLN,4,0,4,0.0,-19.4795061647892,-4.8698765411973,0.0,19.4795061647892,0.0,-1.0555916493184694,566,0.0,0.8327339431721249,-0.13331533490524425,100.00000000000009
LAB,3,0,3,0.0,-13.77670343220234,-4.59223447740078,0.0,13.77670343220234,0.0,-1.0590756118893694,567,0.0,0.8354823676139085,-0.13375533993677013,100.00000000000009
UNFI,71,0,71,0.0,-90.37853600084782,-1.2729371267725045,0.0,90.37853600084782,0.0,-1.0642767403522022,568,0.0,0.8395854279370893,-0.13441221343833246,100.00000000000009
IN,6,0,6,0.0,-24.41681717336178,-4.06946952889363,0.0,24.41681717336178,0.0,-1.0691025840827504,569,0.0,0.8433924340662744,-0.13502169057236793,100.00000000000009
SUN,11,0,11,0.0,-37.378259629011154,-3.3980236026373776,0.0,37.378259629011154,0.0,-1.0847734009444019,570,0.0,0.8557548102998837,-0.13700082729583357,100.00000000000009
KERNEL,9,0,9,0.0,-18.65203282237053,-2.072448091374503,0.0,18.65203282237053,0.0,-1.0901488566194784,571,0.0,0.8599953936765554,-0.13767971735152298,100.00000000000009
ZRC,3,0,3,0.0,-13.886110857129097,-4.628703619043033,0.0,13.886110857129097,0.0,-1.0973872493170578,572,0.0,0.86570560869879,-0.13859388595760896,100.00000000000009
DEGO,16,1,15,6.25,-20.404596269130707,-1.2752872668206692,11.441171646118164,31.84576791524887,0.3592681977889982,-1.1336423069294062,573,0.0,0.8943064574313049,-0.1431726974238798,100.00000000000009
THE,31,2,29,6.451612903225806,-26.369028955698013,-0.850613837280581,66.43162536621094,92.80065432190895,0.7158529845680985,-1.2052833426357683,574,0.0,0.9508225564315304,-0.15222056046288607,100.00000000000009
EPT,11,0,11,0.0,-34.16434380412102,-3.1058494367382745,0.0,34.16434380412102,0.0,-1.244064673814209,575,0.0,0.9814163289898274,-0.15711842618346375,100.00000000000009
DAM,9,0,9,0.0,-27.72392699122429,-3.0804363323582544,0.0,27.72392699122429,0.0,-1.27273721818609,576,0.0,1.0040354932765,-0.16073960853934044,100.00000000000009
SQD,9,0,9,0.0,-31.37087818980217,-3.485653132200241,0.0,31.37087818980217,0.0,-1.413583616008488,577,0.0,1.115146239857302,-0.1785277226344201,100.00000000000009
Q,10,0,10,0.0,-33.78917793929577,-3.3789177939295767,0.0,33.78917793929577,0.0,-1.4267625555584178,578,0.0,1.1255428267432688,-0.18019214915856815,100.00000000000009
LRC,77,0,77,0.0,-116.6617312580347,-1.5150874189355157,0.0,116.6617312580347,0.0,-1.5015311942529328,579,0.0,1.1845262256417861,-0.18963501100235414,100.00000000000009
SWARMS,20,0,20,0.0,-39.725075006484985,-1.9862537503242492,0.0,39.725075006484985,0.0,-1.5449926610696303,580,0.0,1.2188120582946684,-0.19512395173798996,100.00000000000009
STRK,15,0,15,0.0,-37.64775677025318,-2.509850451350212,0.0,37.64775677025318,0.0,-1.6095189396440719,581,0.0,1.2697154757574818,-0.2032732606529428,100.00000000000009
ALPACA,14,0,14,0.0,-73.08628769218922,-5.220449120870659,0.0,73.08628769218922,0.0,-1.7617612568797907,582,0.0,1.389816222320998,-0.22250061577851085,100.00000000000009
ZEN,88,1,87,1.1363636363636365,-106.75941486656666,-1.2131751689382575,8.927886962890625,115.68730182945728,0.07717257487819922,-1.8418330764804483,583,0.0,1.4529831885584372,-0.23261323977797696,100.00000000000009
1INCH,49,0,49,0.0,-74.94948670268059,-1.5295813612791958,0.0,74.94948670268059,0.0,-1.8535258896269096,584,0.0,1.4622074017326454,-0.23408997683023705,100.00000000000009
SKYAI,13,0,13,0.0,-32.876302033662796,-2.5289463102817535,0.0,32.876302033662796,0.0,-1.8992534691762266,585,0.0,1.4982809228280474,-0.23986511495865948,100.00000000000009
GIGGLE,6,0,6,0.0,-31.433592543005943,-5.238932090500991,0.0,31.433592543005943,0.0,-1.9132014248140587,586,0.0,1.5092841702533002,-0.24162666392345244,100.00000000000009
TAKE,6,0,6,0.0,-33.38070264458656,-5.563450440764427,0.0,33.38070264458656,0.0,-2.030327287862172,587,0.0,1.6016822882627273,-0.2564190068416694,100.00000000000009
BANK,19,0,19,0.0,-35.83670021593571,-1.886142116628195,0.0,35.83670021593571,0.0,-2.176942747549446,588,0.0,1.7173441258248225,-0.2749357212578122,100.00000000000009
HIFI,31,2,29,6.451612903225806,-40.80265799164772,-1.3162147739241201,86.22455596923828,127.027213960886,0.678788058720932,-2.2185568896068086,589,0.0,1.7501726430166045,-0.28019135518477023,100.00000000000009
TA,8,0,8,0.0,-56.79227191209793,-7.099033989012241,0.0,56.79227191209793,0.0,-2.2593824152889974,590,0.0,1.7823790374167057,-0.28534739126417424,100.00000000000009
PROMPT,16,0,16,0.0,-47.39140918850899,-2.9619630742818117,0.0,47.39140918850899,0.0,-2.382106766238925,591,0.0,1.8791936842128936,-0.300846791963755,100.00000000000009
H,21,1,20,4.761904761904762,-67.65364028513432,-3.2216019183397293,11.73783016204834,79.39147044718266,0.1478474966634766,-2.5415556972991653,592,0.0,2.0049795761173064,-0.32098430220107405,100.00000000000009
ALCH,38,0,38,0.0,-63.48693983256817,-1.6707089429623203,0.0,63.48693983256817,0.0,-2.7473167949994513,593,0.0,2.1673001575182775,-0.34697078065426656,100.00000000000009
1000LUNC,34,1,33,2.941176470588235,-47.374381348490715,-1.3933641573085505,32.832801818847656,80.20718316733837,0.40934989264425,-2.853891018664241,594,0.0,2.2513743102175603,-0.3604305103985394,100.00000000000009
MYX,32,0,32,0.0,-117.72883443534374,-3.679026076104492,0.0,117.72883443534374,0.0,-3.7832461185554553,595,0.0,2.9845229074418733,-0.4778028735352569,100.00000000000009
MOODENG,29,0,29,0.0,-124.09157465398312,-4.27901981565459,0.0,124.09157465398312,0.0,-4.542870356001095,596,0.0,3.5837744143912076,-0.573739175875835,100.00000000000009
AIA,13,0,13,0.0,-100.16657595336437,-7.705121227181875,0.0,100.16657595336437,0.0,-4.571297253202099,597,0.0,3.606199792816306,-0.5773293343647883,100.00000000000009
