strategy_name,axis,parent_alias,parent_strategy,family,group,side,description,total_trades,total_wins,total_losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,mdd_under_5,beats_axis_reference,reference_alias,reference_strategy,reference_cd_value,reference_max_return_pct,reference_max_drawdown_pct
short_max_v1_075_sx13_upperwick_distribution_24,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_24,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,8478,2216,6262,26.13824,5.401267,10.8091,10.446679,99.233229,1.034692,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_073_sx13_upperwick_distribution_22,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_22,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,9994,2302,7692,23.03382,4.706945,9.561025,9.814974,98.807639,0.974126,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_074_sx13_upperwick_distribution_23,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_23,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,9191,2269,6922,24.687194,4.610919,9.891505,10.151082,98.736329,0.974429,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_072_sx13_upperwick_distribution_21,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_21,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,10704,2367,8337,22.113229,4.644686,9.452536,9.812941,98.712024,0.963273,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_060_sx13_upperwick_distribution_09,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_09,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,10321,2933,7388,28.417789,4.742522,13.132489,13.252296,98.139836,0.990959,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_055_sx13_upperwick_distribution_04,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_04,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,10501,3105,7396,29.568613,4.050052,12.784238,13.360646,97.715535,0.956858,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_065_sx13_upperwick_distribution_14,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_14,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,9699,2676,7023,27.590473,3.987248,11.922234,12.978847,97.396018,0.91859,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_059_sx13_upperwick_distribution_08,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_08,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,11325,3037,8288,26.816777,3.901136,12.009343,13.050163,97.391941,0.920245,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_054_sx13_upperwick_distribution_03,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_03,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,11555,3241,8314,28.048464,3.656831,12.305549,13.387866,97.270232,0.919157,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
short_max_v1_070_sx13_upperwick_distribution_19,short_max,short_max_v1,short_only_reference_1x,8V13_SHORT_MAX_DIFFERENT_FLOW,sx13_upperwick_distribution_19,short,상단 분배와 윗꼬리 누적을 short_max raw 후보의 다른 진입 흐름으로 테스트한다.,6312,1584,4728,25.095057,0.440324,7.379334,9.475044,97.205094,0.778818,False,False,short_max_v1,short_only_reference_1x,456.137449,394.6145,7.7792
